Zipcode,Area,Population,Population_ME,Median Age,Household Income,Per Capita Income,Income over $75K*,% of Pop Income $75+,Poverty Count,Poverty Rate,Time to work (don't use),Worked outside home,Drive to work,Public transit to work,Biked to work,Walked to work,Worked at home,Drive to work -%  total pop,Public transit to work -%  total pop,Biked to work -% total pop,Walked to work -% total pop,Worked at home  - % total pop,% Transiting  to work (any form),Drive to work - % commuters,Public transit to work -% commuters,Biked to work - % commuters,Walked to work - % commuters,Pop Under 5 years,Pop 5-9 years,Pop 10-14 years,Pop 15-17 years,Pop 18-19 years,Pop 20 years,Pop 21 years,Pop 22-24 years,Pop 25-29 years,Pop 30-34 years,Pop 35-39 years,Pop 40-44 years,Pop 45-49 years,Pop 50-54 years,Pop 55-59 years,Pop 60-61 years,Pop 62-64 years,Pop 65-66 years,Pop 67-69 years,Pop 70-74 years,Pop 75-79 years,Pop 80-84 years,Pop 85 years plus,Pop 0-9,Pop 10-19,Pop 20-29,Pop 30-39,Pop 40-49,Pop 50-59,Pop 60-69,Pop 70+
60656,(Chicago),27926.00,990.00,40.40," $58,177.00 "," $33,066.00 "," 3,536.00 ",0.13,2624.00,0.09,434225.00,5448.00,11609.00,1816.00,10.00,125.00,577.00,0.42,0.07,0.00,0.00,0.02,0.49,0.86,0.13,0.00,0.01,1784.00,1580.00,1435.00,704.00,244.00,134.00,150.00,746.00,2020.00,2419.00,2651.00,1923.00,2030.00,1808.00,1770.00,755.00,1121.00,576.00,774.00,1234.00,910.00,488.00,670.00,0.12,0.09,0.11,0.18,0.14,0.13,0.12,0.12
60641,(Chicago),70642.00,2133.00,35.70," $53,158.00 "," $25,655.00 "," 5,372.00 ",0.08,9560.00,0.14,1291145.00,10433.00,25906.00,7942.00,288.00,913.00,1240.00,0.37,0.11,0.00,0.01,0.02,0.50,0.74,0.23,0.01,0.03,4718.00,4281.00,3963.00,2561.00,1486.00,903.00,936.00,2933.00,6281.00,6167.00,5179.00,5171.00,5162.00,4838.00,4884.00,1710.00,2177.00,1141.00,1435.00,1742.00,1243.00,810.00,921.00,0.13,0.11,0.16,0.16,0.15,0.14,0.09,0.07
60659,(Chicago),38995.00,1867.00,34.10," $51,527.00 "," $23,038.00 "," 2,611.00 ",0.07,8224.00,0.21,606050.00,6181.00,13262.00,3391.00,292.00,1078.00,622.00,0.34,0.09,0.01,0.03,0.02,0.46,0.74,0.19,0.02,0.06,2517.00,2785.00,2670.00,1422.00,751.00,466.00,547.00,1814.00,3792.00,3351.00,2939.00,2589.00,2286.00,1892.00,2669.00,777.00,1113.00,793.00,887.00,969.00,922.00,507.00,537.00,0.14,0.12,0.17,0.16,0.13,0.12,0.09,0.08
60633,(Chicago),12817.00,981.00,39.10," $50,754.00 "," $24,977.00 "," 1,225.00 ",0.10,2353.00,0.18,176345.00,2920.00,4523.00,820.00,0.00,112.00,36.00,0.35,0.06,0.00,0.01,0.00,0.43,0.83,0.15,0.00,0.02,647.00,756.00,924.00,395.00,375.00,102.00,170.00,503.00,793.00,1298.00,654.00,716.00,800.00,1264.00,976.00,272.00,456.00,215.00,218.00,362.00,417.00,266.00,238.00,0.11,0.13,0.12,0.15,0.12,0.17,0.09,0.10
60645,(Chicago),47131.00,1587.00,35.70," $49,132.00 "," $25,740.00 "," 4,498.00 ",0.10,10664.00,0.23,617720.00,6452.00,13336.00,3883.00,368.00,1180.00,744.00,0.28,0.08,0.01,0.03,0.02,0.40,0.71,0.21,0.02,0.06,4065.00,3563.00,3012.00,1942.00,854.00,712.00,395.00,1568.00,3616.00,3324.00,3583.00,3111.00,2683.00,3463.00,2563.00,1457.00,1659.00,826.00,1024.00,1171.00,849.00,806.00,885.00,0.16,0.12,0.13,0.15,0.12,0.13,0.11,0.08
60640,(Chicago),67088.00,1556.00,37.50," $47,390.00 "," $38,673.00 "," 9,746.00 ",0.15,14206.00,0.21,1315450.00,7198.00,14815.00,16751.00,1086.00,1836.00,2833.00,0.22,0.25,0.02,0.03,0.04,0.51,0.43,0.49,0.03,0.05,3090.00,2582.00,1959.00,808.00,506.00,437.00,551.00,3053.00,8763.00,8130.00,6472.00,5045.00,5096.00,4473.00,4235.00,1524.00,2245.00,1054.00,1230.00,1937.00,1308.00,1207.00,1383.00,0.08,0.05,0.19,0.22,0.15,0.13,0.09,0.09
60660,(Chicago),41490.00,1413.00,37.10," $43,794.00 "," $32,641.00 "," 4,641.00 ",0.11,7417.00,0.18,803970.00,4788.00,9515.00,10002.00,441.00,1282.00,1203.00,0.23,0.24,0.01,0.03,0.03,0.51,0.45,0.47,0.02,0.06,1635.00,1310.00,1225.00,850.00,1857.00,698.00,651.00,1874.00,4749.00,4472.00,3076.00,2712.00,2725.00,3111.00,2685.00,956.00,1719.00,963.00,926.00,1395.00,812.00,398.00,691.00,0.07,0.09,0.19,0.18,0.13,0.14,0.11,0.08
60616,(Chicago),52580.00,1735.00,36.20," $42,776.00 "," $29,751.00 "," 5,927.00 ",0.11,12976.00,0.25,707365.00,5078.00,14126.00,6390.00,454.00,2829.00,1015.00,0.27,0.12,0.01,0.05,0.02,0.45,0.59,0.27,0.02,0.12,2526.00,2236.00,2482.00,1579.00,1327.00,677.00,928.00,2817.00,5425.00,5356.00,3688.00,3378.00,3763.00,3058.00,3030.00,1278.00,1580.00,1393.00,1131.00,1383.00,1390.00,1110.00,1045.00,0.09,0.10,0.19,0.17,0.14,0.12,0.10,0.09
60629,(Chicago),115104.00,2963.00,30.40," $41,471.00 "," $15,294.00 "," 2,554.00 ",0.02,25752.00,0.22,1549385.00,13669.00,33589.00,7925.00,223.00,1556.00,829.00,0.29,0.07,0.00,0.01,0.01,0.38,0.78,0.18,0.01,0.04,8633.00,10376.00,9847.00,6344.00,3613.00,1821.00,2244.00,5076.00,8787.00,9248.00,8548.00,8280.00,7051.00,6158.00,5475.00,1921.00,2771.00,1259.00,2008.00,2465.00,1227.00,986.00,966.00,0.17,0.17,0.16,0.15,0.13,0.10,0.07,0.05
60632,(Chicago),91668.00,2474.00,30.60," $40,829.00 "," $15,067.00 "," 1,947.00 ",0.02,20597.00,0.22,1278510.00,10837.00,27954.00,7048.00,179.00,1398.00,487.00,0.30,0.08,0.00,0.02,0.01,0.40,0.76,0.19,0.00,0.04,6566.00,7934.00,8166.00,5120.00,3107.00,1506.00,1502.00,4115.00,6925.00,6637.00,7258.00,7062.00,5534.00,5070.00,4068.00,1686.00,1848.00,1266.00,1403.00,1856.00,1154.00,863.00,1022.00,0.16,0.18,0.15,0.15,0.14,0.10,0.07,0.05
60615,(Chicago),40257.00,1237.00,33.50," $40,587.00 "," $34,264.00 "," 5,237.00 ",0.13,10058.00,0.25,524135.00,2348.00,7858.00,5721.00,667.00,2680.00,1001.00,0.20,0.14,0.02,0.07,0.02,0.42,0.46,0.34,0.04,0.16,2256.00,1810.00,1786.00,1406.00,1124.00,1067.00,985.00,2407.00,4521.00,3667.00,2704.00,2205.00,2192.00,2394.00,2032.00,899.00,1165.00,776.00,1040.00,1328.00,1080.00,753.00,660.00,0.10,0.11,0.22,0.16,0.11,0.11,0.10,0.09
60639,(Chicago),90211.00,2113.00,31.80," $39,913.00 "," $15,711.00 "," 1,919.00 ",0.02,21252.00,0.24,1443100.00,13014.00,29246.00,6988.00,340.00,1297.00,719.00,0.32,0.08,0.00,0.01,0.01,0.42,0.77,0.18,0.01,0.03,7640.00,7912.00,6049.00,3999.00,2760.00,1613.00,1456.00,4511.00,6514.00,7156.00,6831.00,6548.00,5761.00,4837.00,5132.00,1925.00,2252.00,1166.00,1542.00,1977.00,1188.00,724.00,718.00,0.17,0.14,0.16,0.16,0.14,0.11,0.08,0.05
60608,(Chicago),78072.00,1725.00,31.60," $37,574.00 "," $18,539.00 "," 3,659.00 ",0.05,18671.00,0.24,970300.00,6215.00,18368.00,9068.00,1149.00,1762.00,914.00,0.24,0.12,0.01,0.02,0.01,0.39,0.61,0.30,0.04,0.06,4623.00,4588.00,4577.00,2347.00,2291.00,1516.00,1591.00,4941.00,9657.00,7742.00,5922.00,5248.00,4469.00,4375.00,4204.00,1342.00,1866.00,1251.00,1165.00,1751.00,1061.00,707.00,838.00,0.12,0.12,0.23,0.18,0.12,0.11,0.07,0.06
60617,(Chicago),80002.00,2393.00,37.50," $37,254.00 "," $18,085.00 "," 3,066.00 ",0.04,19629.00,0.25,1080490.00,7633.00,20971.00,6388.00,92.00,620.00,707.00,0.26,0.08,0.00,0.01,0.01,0.35,0.75,0.23,0.00,0.02,5055.00,5185.00,6314.00,4039.00,2478.00,891.00,1261.00,3383.00,5256.00,4040.00,4656.00,4945.00,5338.00,5395.00,4964.00,1866.00,2642.00,1681.00,1809.00,3177.00,2355.00,1806.00,1466.00,0.13,0.16,0.13,0.11,0.13,0.13,0.10,0.11
60612,(Chicago),35559.00,1393.00,31.10," $37,137.00 "," $22,057.00 "," 2,568.00 ",0.07,11774.00,0.33,414760.00,2722.00,7205.00,4515.00,487.00,826.00,854.00,0.20,0.13,0.01,0.02,0.02,0.37,0.55,0.35,0.04,0.06,2537.00,2063.00,2423.00,1619.00,1144.00,712.00,732.00,2101.00,3604.00,3516.00,2216.00,2461.00,1686.00,2125.00,1951.00,554.00,884.00,709.00,510.00,698.00,590.00,426.00,298.00,0.13,0.15,0.20,0.16,0.12,0.11,0.07,0.06
60626,(Chicago),50090.00,1650.00,33.90," $36,978.00 "," $25,247.00 "," 3,758.00 ",0.08,12032.00,0.24,930215.00,7381.00,11010.00,10982.00,523.00,2028.00,1483.00,0.22,0.22,0.01,0.04,0.03,0.49,0.45,0.45,0.02,0.08,2847.00,2573.00,2414.00,881.00,1945.00,1044.00,1049.00,2720.00,5327.00,5176.00,4618.00,3242.00,3410.00,3041.00,2671.00,844.00,1500.00,650.00,811.00,1267.00,668.00,588.00,804.00,0.11,0.10,0.20,0.20,0.13,0.11,0.08,0.07
60628,(Chicago),68077.00,1969.00,37.90," $35,654.00 "," $18,433.00 "," 2,512.00 ",0.04,21178.00,0.31,882055.00,6249.00,14668.00,5976.00,83.00,458.00,618.00,0.22,0.09,0.00,0.01,0.01,0.31,0.69,0.28,0.00,0.02,3971.00,4688.00,4896.00,2968.00,2259.00,969.00,1130.00,2971.00,4304.00,3578.00,3745.00,4215.00,4155.00,4469.00,4584.00,1462.00,2325.00,1263.00,2053.00,3219.00,2345.00,1464.00,1044.00,0.13,0.15,0.14,0.11,0.12,0.13,0.10,0.12
60064,(North Chicago),15848.00,468.00,30.20," $34,777.00 "," $15,281.00 ", 327.00 ,0.02,4276.00,0.27,143180.00,4951.00,5537.00,215.00,0.00,182.00,200.00,0.35,0.01,0.00,0.01,0.01,0.37,0.93,0.04,0.00,0.03,1197.00,1270.00,1285.00,857.00,590.00,232.00,368.00,966.00,1084.00,1013.00,904.00,906.00,1091.00,1020.00,922.00,270.00,325.00,271.00,323.00,405.00,247.00,203.00,99.00,0.16,0.17,0.17,0.12,0.13,0.12,0.08,0.06
60651,(Chicago),61759.00,2172.00,33.30," $34,397.00 "," $15,705.00 "," 1,756.00 ",0.03,17659.00,0.29,817100.00,6535.00,15340.00,5273.00,371.00,333.00,627.00,0.25,0.09,0.01,0.01,0.01,0.35,0.72,0.25,0.02,0.02,4705.00,4822.00,4240.00,2986.00,1612.00,1114.00,1115.00,3079.00,4215.00,4768.00,4018.00,3848.00,3710.00,3631.00,3617.00,1369.00,2088.00,1113.00,1498.00,1741.00,1338.00,709.00,423.00,0.15,0.14,0.15,0.14,0.12,0.12,0.10,0.07
60609,(Chicago),62250.00,1913.00,31.60," $32,721.00 "," $15,577.00 "," 1,923.00 ",0.03,19143.00,0.31,716905.00,5171.00,16328.00,5076.00,159.00,1240.00,473.00,0.26,0.08,0.00,0.02,0.01,0.37,0.72,0.22,0.01,0.05,4825.00,4920.00,4654.00,2955.00,1854.00,929.00,1128.00,3333.00,4893.00,4704.00,4414.00,3732.00,3709.00,3912.00,3620.00,1267.00,1537.00,980.00,1267.00,1463.00,882.00,782.00,490.00,0.16,0.15,0.17,0.15,0.12,0.12,0.08,0.06
60620,(Chicago),69299.00,2093.00,39.60," $32,401.00 "," $17,940.00 "," 2,606.00 ",0.04,18709.00,0.27,939745.00,5386.00,15256.00,7412.00,7.00,375.00,858.00,0.22,0.11,0.00,0.01,0.01,0.33,0.66,0.32,0.00,0.02,3724.00,4019.00,4470.00,3022.00,1855.00,1140.00,1331.00,2510.00,4676.00,4383.00,3773.00,4273.00,4112.00,5168.00,5416.00,1725.00,2062.00,1485.00,1723.00,2902.00,2330.00,1641.00,1559.00,0.11,0.13,0.14,0.12,0.12,0.15,0.10,0.12
60619,(Chicago),62822.00,1935.00,39.10," $32,024.00 "," $19,494.00 "," 3,048.00 ",0.05,18615.00,0.30,861995.00,4821.00,13461.00,6994.00,14.00,421.00,993.00,0.21,0.11,0.00,0.01,0.02,0.33,0.64,0.33,0.00,0.02,4448.00,3677.00,3692.00,2667.00,1467.00,950.00,1050.00,2693.00,4083.00,3446.00,3982.00,3263.00,3734.00,4841.00,4506.00,1710.00,2864.00,1313.00,1469.00,2074.00,1888.00,1430.00,1575.00,0.13,0.12,0.14,0.12,0.11,0.15,0.12,0.11
60623,(Chicago),88137.00,2354.00,29.30," $30,048.00 "," $12,244.00 "," 1,100.00 ",0.01,32750.00,0.37,1064470.00,10095.00,20999.00,6477.00,240.00,2058.00,1059.00,0.24,0.07,0.00,0.02,0.01,0.34,0.71,0.22,0.01,0.07,7785.00,7671.00,7768.00,4493.00,2710.00,1363.00,1533.00,4471.00,7016.00,6101.00,6082.00,5372.00,5560.00,4877.00,4441.00,1607.00,2092.00,1157.00,1262.00,1750.00,1261.00,900.00,865.00,0.18,0.17,0.16,0.14,0.12,0.11,0.07,0.05
60636,(Chicago),35779.00,1644.00,35.30," $27,475.00 "," $13,902.00 ", 622.00 ,0.02,12644.00,0.35,386910.00,2241.00,6080.00,3030.00,52.00,370.00,356.00,0.17,0.08,0.00,0.01,0.01,0.27,0.64,0.32,0.01,0.04,2378.00,2326.00,2825.00,1557.00,1001.00,533.00,666.00,1349.00,2633.00,2485.00,1949.00,2192.00,2566.00,2182.00,2111.00,503.00,1141.00,628.00,994.00,1581.00,982.00,699.00,498.00,0.13,0.15,0.14,0.12,0.13,0.12,0.09,0.11
60637,(Chicago),49158.00,1385.00,30.30," $27,091.00 "," $21,635.00 "," 3,136.00 ",0.06,18172.00,0.37,519375.00,2740.00,6983.00,4991.00,293.00,2614.00,847.00,0.14,0.10,0.01,0.05,0.02,0.30,0.47,0.34,0.02,0.18,3722.00,3639.00,3282.00,1945.00,3232.00,1414.00,1091.00,2503.00,3542.00,3467.00,2667.00,2781.00,2633.00,2754.00,2763.00,1108.00,1332.00,841.00,1169.00,1117.00,827.00,634.00,695.00,0.15,0.17,0.17,0.12,0.11,0.11,0.09,0.07
60644,(Chicago),49645.00,2219.00,32.60," $26,892.00 "," $14,510.00 "," 1,263.00 ",0.03,17017.00,0.34,565805.00,4720.00,8546.00,5491.00,78.00,434.00,288.00,0.17,0.11,0.00,0.01,0.01,0.29,0.59,0.38,0.01,0.03,4333.00,3770.00,3406.00,2443.00,1428.00,879.00,804.00,2453.00,3648.00,2995.00,2648.00,2783.00,3245.00,3209.00,3094.00,1154.00,1558.00,903.00,936.00,1373.00,1113.00,713.00,757.00,0.16,0.15,0.16,0.11,0.12,0.13,0.09,0.08
60649,(Chicago),45218.00,2052.00,38.40," $26,246.00 "," $20,699.00 "," 2,471.00 ",0.05,15271.00,0.34,690380.00,3314.00,8652.00,6788.00,27.00,354.00,547.00,0.19,0.15,0.00,0.01,0.01,0.35,0.55,0.43,0.00,0.02,3300.00,2872.00,2493.00,1739.00,1128.00,549.00,642.00,2196.00,3032.00,2626.00,3113.00,2977.00,3103.00,3093.00,3165.00,1236.00,1548.00,1224.00,1064.00,1261.00,1255.00,863.00,739.00,0.14,0.12,0.14,0.13,0.13,0.14,0.11,0.09
60653,(Chicago),31045.00,1252.00,36.10," $26,176.00 "," $22,015.00 "," 2,321.00 ",0.07,11152.00,0.36,376755.00,1941.00,6012.00,3709.00,45.00,403.00,676.00,0.19,0.12,0.00,0.01,0.02,0.33,0.59,0.36,0.00,0.04,2382.00,2180.00,2293.00,1277.00,822.00,502.00,509.00,1258.00,1809.00,2027.00,2451.00,2535.00,1862.00,1480.00,1682.00,571.00,1113.00,695.00,781.00,856.00,778.00,565.00,617.00,0.15,0.14,0.13,0.14,0.14,0.10,0.10,0.09
60624,(Chicago),38134.00,1478.00,28.70," $22,160.00 "," $12,287.00 ", 756.00 ,0.02,17011.00,0.45,359910.00,2469.00,5542.00,3585.00,67.00,299.00,382.00,0.15,0.09,0.00,0.01,0.01,0.25,0.58,0.38,0.01,0.03,3603.00,3166.00,3313.00,1932.00,1332.00,848.00,728.00,1885.00,2885.00,2195.00,2389.00,2311.00,2068.00,2285.00,1810.00,678.00,768.00,635.00,784.00,780.00,725.00,603.00,411.00,0.18,0.17,0.17,0.12,0.11,0.11,0.08,0.07
60621,(Chicago),31383.00,1737.00,31.20," $20,150.00 "," $12,253.00 ", 522.00 ,0.02,13961.00,0.44,298970.00,1419.00,3959.00,3122.00,0.00,238.00,384.00,0.13,0.10,0.00,0.01,0.01,0.23,0.54,0.43,0.00,0.03,2723.00,2526.00,2004.00,1663.00,1059.00,531.00,675.00,1529.00,2407.00,2251.00,1359.00,1812.00,1545.00,2061.00,2023.00,779.00,778.00,537.00,495.00,922.00,501.00,621.00,582.00,0.17,0.15,0.16,0.12,0.11,0.13,0.08,0.08