,Unnamed: 0_x,ZipCode,HousingUnits,Population_x,Households,Families,MedianAge,MedianHouseholdIncome,MedianHomeValue,Unnamed: 0_y,Unnamed: 0.1,zipcode,walkscore,transitscore,bikescore,ZIP,LAT,LNG,Zipcode,Area,Population_y,Population_ME,Median Age,Household Income,Per Capita Income,Income over $75K*,% of Pop Income $75+,Poverty Count,Poverty Rate,Time to work (don't use),Worked outside home,Drive to work,Public transit to work,Biked to work,Walked to work,Worked at home,Drive to work -%  total pop,Public transit to work -%  total pop,Biked to work -% total pop,Walked to work -% total pop,Worked at home  - % total pop,% Transiting  to work (any form),Drive to work - % commuters,Public transit to work -% commuters,Biked to work - % commuters,Walked to work - % commuters,Pop Under 5 years,Pop 5-9 years,Pop 10-14 years,Pop 15-17 years,Pop 18-19 years,Pop 20 years,Pop 21 years,Pop 22-24 years,Pop 25-29 years,Pop 30-34 years,Pop 35-39 years,Pop 40-44 years,Pop 45-49 years,Pop 50-54 years,Pop 55-59 years,Pop 60-61 years,Pop 62-64 years,Pop 65-66 years,Pop 67-69 years,Pop 70-74 years,Pop 75-79 years,Pop 80-84 years,Pop 85 years plus,Pop 0-9,Pop 10-19,Pop 20-29,Pop 30-39,Pop 40-49,Pop 50-59,Pop 60-69,Pop 70+,household_size
26,26,60629,27513.0,93354.0,24390.0,19501.0,29.0,44259.0,201735.0,43.0,43.0,60629.0,75.0,54.0,66.0,60629.0,41.775868,-87.711496,60629.0,(Chicago),115104.0,2963.0,30.4,41471.0,15294.0,2554.0,0.02,25752.0,0.22,1549385.0,13669.0,33589.0,7925.0,223.0,1556.0,829.0,0.29,0.07,0.0,0.01,0.01,0.38,0.78,0.18,0.01,0.04,8633.0,10376.0,9847.0,6344.0,3613.0,1821.0,2244.0,5076.0,8787.0,9248.0,8548.0,8280.0,7051.0,6158.0,5475.0,1921.0,2771.0,1259.0,2008.0,2465.0,1227.0,986.0,966.0,0.17,0.17,0.16,0.15,0.13,0.1,0.07,0.05,3.827552275522755
27,27,60630,39390.0,91077.0,36086.0,18229.0,32.6,55890.0,358155.0,42.0,42.0,60630.0,77.0,77.0,81.0,60630.0,41.972071,-87.756569,60630.0,(Chicago),57627.0,1731.0,38.6,67469.0,30239.0,6892.0,0.12,5922.0,0.1,1015025.0,9900.0,21680.0,5786.0,192.0,384.0,808.0,0.38,0.1,0.0,0.01,0.01,0.49,0.77,0.21,0.01,0.01,3673.0,3245.0,3498.0,1949.0,1053.0,491.0,724.0,2252.0,3961.0,4223.0,4905.0,4062.0,4005.0,4466.0,4083.0,1418.0,2039.0,807.0,1432.0,1739.0,1310.0,1162.0,1130.0,0.12,0.11,0.13,0.16,0.14,0.15,0.1,0.09,2.5238873801474258
28,28,60631,850.0,727.0,323.0,100.0,26.9,95387.0,564024.0,41.0,41.0,60631.0,57.0,43.0,57.0,60631.0,41.994855,-87.81300300000002,60631.0,(Chicago),28238.0,926.0,43.3,79458.0,40500.0,5257.0,0.19,1280.0,0.05,433410.0,5964.0,11834.0,1426.0,120.0,340.0,476.0,0.42,0.05,0.0,0.01,0.02,0.49,0.86,0.1,0.01,0.02,1406.0,1662.0,1537.0,937.0,238.0,194.0,203.0,800.0,2147.0,1592.0,1686.0,2418.0,2280.0,1825.0,2028.0,884.0,1062.0,534.0,657.0,969.0,867.0,1062.0,1250.0,0.11,0.1,0.12,0.12,0.17,0.14,0.11,0.15,2.2507739938080493
29,29,60632,24485.0,50393.0,19682.0,10801.0,32.0,26946.0,214528.0,40.0,40.0,60632.0,52.0,59.0,57.0,60632.0,41.810166,-87.713252,60632.0,(Chicago),91668.0,2474.0,30.6,40829.0,15067.0,1947.0,0.02,20597.0,0.22,1278510.0,10837.0,27954.0,7048.0,179.0,1398.0,487.0,0.3,0.08,0.0,0.02,0.01,0.4,0.76,0.19,0.0,0.04,6566.0,7934.0,8166.0,5120.0,3107.0,1506.0,1502.0,4115.0,6925.0,6637.0,7258.0,7062.0,5534.0,5070.0,4068.0,1686.0,1848.0,1266.0,1403.0,1856.0,1154.0,863.0,1022.0,0.16,0.18,0.15,0.15,0.14,0.1,0.07,0.05,2.5603597195406973
30,30,60633,21323.0,55589.0,19683.0,13620.0,38.8,65658.0,227643.0,39.0,39.0,60633.0,9.0,30.0,43.0,60633.0,41.663809,-87.56147,60633.0,(Chicago),12817.0,981.0,39.1,50754.0,24977.0,1225.0,0.1,2353.0,0.18,176345.0,2920.0,4523.0,820.0,0.0,112.0,36.0,0.35,0.06,0.0,0.01,0.0,0.43,0.83,0.15,0.0,0.02,647.0,756.0,924.0,395.0,375.0,102.0,170.0,503.0,793.0,1298.0,654.0,716.0,800.0,1264.0,976.0,272.0,456.0,215.0,218.0,362.0,417.0,266.0,238.0,0.11,0.13,0.12,0.15,0.12,0.17,0.09,0.1,2.8242137885484935
31,31,60634,27919.0,91726.0,25529.0,19968.0,30.3,42498.0,240787.0,38.0,38.0,60634.0,85.0,56.0,60.0,60634.0,41.946189,-87.806117,60634.0,(Chicago),73382.0,1854.0,38.6,58184.0,26564.0,5846.0,0.08,8397.0,0.11,1344770.0,14353.0,30275.0,4205.0,113.0,739.0,677.0,0.41,0.06,0.0,0.01,0.01,0.48,0.86,0.12,0.0,0.02,4908.0,4340.0,4203.0,2599.0,1804.0,871.0,738.0,2466.0,5963.0,5783.0,4400.0,4810.0,5348.0,5094.0,5582.0,1775.0,2543.0,1517.0,2013.0,2149.0,1503.0,1501.0,1472.0,0.13,0.12,0.14,0.14,0.14,0.15,0.11,0.09,3.5930118688550277
32,32,60636,12985.0,28433.0,10298.0,6774.0,32.3,30369.0,87756.0,37.0,37.0,60636.0,73.0,69.0,62.0,60636.0,41.775739,-87.669064,60636.0,(Chicago),35779.0,1644.0,35.3,27475.0,13902.0,622.0,0.02,12644.0,0.35,386910.0,2241.0,6080.0,3030.0,52.0,370.0,356.0,0.17,0.08,0.0,0.01,0.01,0.27,0.64,0.32,0.01,0.04,2378.0,2326.0,2825.0,1557.0,1001.0,533.0,666.0,1349.0,2633.0,2485.0,1949.0,2192.0,2566.0,2182.0,2111.0,503.0,1141.0,628.0,994.0,1581.0,982.0,699.0,498.0,0.13,0.15,0.14,0.12,0.13,0.12,0.09,0.11,2.7610215575839967
33,33,60637,17616.0,45707.0,15961.0,10256.0,36.3,54230.0,277517.0,36.0,36.0,60637.0,78.0,74.0,72.0,60637.0,41.781621,-87.599876,60637.0,(Chicago),49158.0,1385.0,30.3,27091.0,21635.0,3136.0,0.06,18172.0,0.37,519375.0,2740.0,6983.0,4991.0,293.0,2614.0,847.0,0.14,0.1,0.01,0.05,0.02,0.3,0.47,0.34,0.02,0.18,3722.0,3639.0,3282.0,1945.0,3232.0,1414.0,1091.0,2503.0,3542.0,3467.0,2667.0,2781.0,2633.0,2754.0,2763.0,1108.0,1332.0,841.0,1169.0,1117.0,827.0,634.0,695.0,0.15,0.17,0.17,0.12,0.11,0.11,0.09,0.07,2.863667689994361
34,34,60638,11238.0,14540.0,9040.0,2730.0,34.7,107353.0,512665.0,35.0,35.0,60638.0,69.0,40.0,65.0,60638.0,41.78143,-87.77051999999998,60638.0,(Chicago),57746.0,1255.0,38.4,64408.0,27052.0,5516.0,0.1,4937.0,0.09,903390.0,9942.0,21799.0,3578.0,104.0,477.0,395.0,0.38,0.06,0.0,0.01,0.01,0.45,0.84,0.14,0.0,0.02,3753.0,3624.0,4063.0,2089.0,1483.0,519.0,628.0,2342.0,3507.0,4022.0,4244.0,4429.0,3869.0,4045.0,3392.0,1495.0,2030.0,1181.0,1561.0,1832.0,1308.0,1092.0,1238.0,0.13,0.13,0.12,0.14,0.14,0.13,0.11,0.09,1.6084070796460177
35,35,60639,10623.0,25332.0,9869.0,6773.0,44.6,90841.0,420222.0,34.0,34.0,60639.0,78.0,62.0,72.0,60639.0,41.920552,-87.756054,60639.0,(Chicago),90211.0,2113.0,31.8,39913.0,15711.0,1919.0,0.02,21252.0,0.24,1443100.0,13014.0,29246.0,6988.0,340.0,1297.0,719.0,0.32,0.08,0.0,0.01,0.01,0.42,0.77,0.18,0.01,0.03,7640.0,7912.0,6049.0,3999.0,2760.0,1613.0,1456.0,4511.0,6514.0,7156.0,6831.0,6548.0,5761.0,4837.0,5132.0,1925.0,2252.0,1166.0,1542.0,1977.0,1188.0,724.0,718.0,0.17,0.14,0.16,0.16,0.14,0.11,0.08,0.05,2.5668254129091093
36,36,60640,26729.0,47554.0,22294.0,10695.0,39.5,29641.0,186222.0,33.0,33.0,60640.0,92.0,80.0,81.0,60640.0,41.972872,-87.662604,60640.0,(Chicago),67088.0,1556.0,37.5,47390.0,38673.0,9746.0,0.15,14206.0,0.21,1315450.0,7198.0,14815.0,16751.0,1086.0,1836.0,2833.0,0.22,0.25,0.02,0.03,0.04,0.51,0.43,0.49,0.03,0.05,3090.0,2582.0,1959.0,808.0,506.0,437.0,551.0,3053.0,8763.0,8130.0,6472.0,5045.0,5096.0,4473.0,4235.0,1524.0,2245.0,1054.0,1230.0,1937.0,1308.0,1207.0,1383.0,0.08,0.05,0.19,0.22,0.15,0.13,0.09,0.09,2.133040279895936
37,37,60641,18256.0,30857.0,16144.0,5060.0,33.8,92149.0,352837.0,32.0,32.0,60641.0,83.0,62.0,69.0,60641.0,41.946606,-87.746787,60641.0,(Chicago),70642.0,2133.0,35.7,53158.0,25655.0,5372.0,0.08,9560.0,0.14,1291145.0,10433.0,25906.0,7942.0,288.0,913.0,1240.0,0.37,0.11,0.0,0.01,0.02,0.5,0.74,0.23,0.01,0.03,4718.0,4281.0,3963.0,2561.0,1486.0,903.0,936.0,2933.0,6281.0,6167.0,5179.0,5171.0,5162.0,4838.0,4884.0,1710.0,2177.0,1141.0,1435.0,1742.0,1243.0,810.0,921.0,0.13,0.11,0.16,0.16,0.15,0.14,0.09,0.07,1.9113602576808721
38,38,60642,1987.0,2253.0,1517.0,344.0,31.2,91637.0,345798.0,31.0,31.0,60642.0,72.0,77.0,94.0,60642.0,41.902042,-87.65854399999998,60642.0,(Chicago),19508.0,921.0,31.8,82404.0,52496.0,4686.0,0.24,2610.0,0.13,346090.0,2325.0,5439.0,5185.0,659.0,777.0,1048.0,0.28,0.27,0.03,0.04,0.05,0.62,0.45,0.43,0.05,0.06,1163.0,557.0,493.0,166.0,66.0,151.0,154.0,1082.0,4228.0,4028.0,2076.0,1089.0,1106.0,672.0,668.0,163.0,366.0,198.0,280.0,396.0,138.0,184.0,84.0,0.09,0.04,0.29,0.31,0.11,0.07,0.05,0.04,1.4851680949241926
39,39,60643,13395.0,25416.0,12116.0,4245.0,32.5,88191.0,373994.0,30.0,30.0,60643.0,50.0,51.0,69.0,60643.0,41.700273,-87.663267,60643.0,(Chicago),50507.0,1590.0,43.9,59686.0,30304.0,5958.0,0.12,7994.0,0.16,741485.0,4762.0,14933.0,4234.0,42.0,361.0,930.0,0.3,0.08,0.0,0.01,0.02,0.39,0.76,0.22,0.0,0.02,2660.0,2676.0,3673.0,2027.0,1164.0,682.0,615.0,1837.0,1972.0,2618.0,2774.0,3339.0,3368.0,4279.0,4165.0,1423.0,1977.0,1146.0,1240.0,2136.0,1958.0,1396.0,1382.0,0.11,0.14,0.1,0.11,0.13,0.17,0.11,0.14,2.0977220204688014
40,40,60644,29537.0,75644.0,26357.0,16218.0,32.0,37836.0,251061.0,29.0,29.0,60644.0,83.0,70.0,75.0,60644.0,41.880084,-87.756373,60644.0,(Chicago),49645.0,2219.0,32.6,26892.0,14510.0,1263.0,0.03,17017.0,0.34,565805.0,4720.0,8546.0,5491.0,78.0,434.0,288.0,0.17,0.11,0.0,0.01,0.01,0.29,0.59,0.38,0.01,0.03,4333.0,3770.0,3406.0,2443.0,1428.0,879.0,804.0,2453.0,3648.0,2995.0,2648.0,2783.0,3245.0,3209.0,3094.0,1154.0,1558.0,903.0,936.0,1373.0,1113.0,713.0,757.0,0.16,0.15,0.16,0.11,0.12,0.13,0.09,0.08,2.869977615054824
41,41,60645,25428.0,67765.0,21074.0,14726.0,29.9,36673.0,196431.0,28.0,28.0,60645.0,80.0,52.0,76.0,60645.0,42.008558,-87.694735,60645.0,(Chicago),47131.0,1587.0,35.7,49132.0,25740.0,4498.0,0.1,10664.0,0.23,617720.0,6452.0,13336.0,3883.0,368.0,1180.0,744.0,0.28,0.08,0.01,0.03,0.02,0.4,0.71,0.21,0.02,0.06,4065.0,3563.0,3012.0,1942.0,854.0,712.0,395.0,1568.0,3616.0,3324.0,3583.0,3111.0,2683.0,3463.0,2563.0,1457.0,1659.0,826.0,1024.0,1171.0,849.0,806.0,885.0,0.16,0.12,0.13,0.15,0.12,0.13,0.11,0.08,3.2155736927019074
42,42,60646,27078.0,71684.0,24746.0,16223.0,35.2,54929.0,296995.0,27.0,27.0,60646.0,61.0,45.0,64.0,60646.0,41.993019,-87.75962700000002,60646.0,(Chicago),27454.0,940.0,43.9,79079.0,42546.0,5575.0,0.2,1662.0,0.06,369895.0,4439.0,10426.0,1304.0,28.0,279.0,587.0,0.38,0.05,0.0,0.01,0.02,0.44,0.87,0.11,0.0,0.02,1816.0,1961.0,1613.0,735.0,398.0,313.0,183.0,663.0,1412.0,1600.0,1479.0,2013.0,1878.0,2318.0,1659.0,868.0,743.0,633.0,919.0,1236.0,1074.0,827.0,1113.0,0.14,0.1,0.09,0.11,0.14,0.14,0.12,0.15,2.8967914006304047
43,43,60647,19718.0,49105.0,17857.0,12631.0,43.0,60387.0,192308.0,26.0,26.0,60647.0,94.0,72.0,92.0,60647.0,41.921215,-87.70102800000002,60647.0,(Chicago),88866.0,1937.0,31.4,61028.0,34232.0,11214.0,0.13,16760.0,0.19,1510345.0,10357.0,25978.0,15977.0,2315.0,1733.0,2824.0,0.29,0.18,0.03,0.02,0.03,0.52,0.56,0.35,0.05,0.04,6546.0,4887.0,4529.0,2691.0,1711.0,758.0,1069.0,5233.0,13174.0,11770.0,8591.0,6240.0,5355.0,4082.0,3620.0,1111.0,1590.0,1040.0,1204.0,1434.0,1221.0,476.0,534.0,0.13,0.1,0.23,0.23,0.13,0.09,0.06,0.04,2.749901999215994
44,44,60649,15915.0,34701.0,13535.0,7130.0,32.9,35838.0,273753.0,25.0,25.0,60649.0,84.0,67.0,72.0,60649.0,41.76342,-87.56587900000002,60649.0,(Chicago),45218.0,2052.0,38.4,26246.0,20699.0,2471.0,0.05,15271.0,0.34,690380.0,3314.0,8652.0,6788.0,27.0,354.0,547.0,0.19,0.15,0.0,0.01,0.01,0.35,0.55,0.43,0.0,0.02,3300.0,2872.0,2493.0,1739.0,1128.0,549.0,642.0,2196.0,3032.0,2626.0,3113.0,2977.0,3103.0,3093.0,3165.0,1236.0,1548.0,1224.0,1064.0,1261.0,1255.0,863.0,739.0,0.14,0.12,0.14,0.13,0.13,0.14,0.11,0.09,2.563797561876616
45,45,60651,15068.0,39124.0,13595.0,9174.0,36.9,53139.0,325961.0,24.0,24.0,60651.0,76.0,63.0,61.0,60651.0,41.902093,-87.74085699999998,60651.0,(Chicago),61759.0,2172.0,33.3,34397.0,15705.0,1756.0,0.03,17659.0,0.29,817100.0,6535.0,15340.0,5273.0,371.0,333.0,627.0,0.25,0.09,0.01,0.01,0.01,0.35,0.72,0.25,0.02,0.02,4705.0,4822.0,4240.0,2986.0,1612.0,1114.0,1115.0,3079.0,4215.0,4768.0,4018.0,3848.0,3710.0,3631.0,3617.0,1369.0,2088.0,1113.0,1498.0,1741.0,1338.0,709.0,423.0,0.15,0.14,0.15,0.14,0.12,0.12,0.1,0.07,2.877822728944465
46,46,60652,25671.0,45125.0,22983.0,9106.0,35.7,40742.0,240271.0,23.0,23.0,60652.0,62.0,58.0,50.0,60652.0,41.747932,-87.714795,60652.0,(Chicago),43228.0,1430.0,35.3,64574.0,23806.0,3376.0,0.08,5252.0,0.12,700285.0,6595.0,15824.0,2770.0,0.0,130.0,320.0,0.37,0.06,0.0,0.0,0.01,0.43,0.85,0.15,0.0,0.01,2739.0,3199.0,3570.0,2104.0,1412.0,525.0,720.0,2200.0,2617.0,2426.0,2879.0,2611.0,3459.0,3464.0,2870.0,1119.0,956.0,653.0,805.0,1297.0,496.0,442.0,665.0,0.14,0.16,0.14,0.12,0.14,0.15,0.08,0.07,1.9634077361528086
47,47,60653,33716.0,82768.0,28533.0,19842.0,36.3,40360.0,148702.0,22.0,22.0,60653.0,73.0,56.0,76.0,60653.0,41.819962,-87.60598399999998,60653.0,(Chicago),31045.0,1252.0,36.1,26176.0,22015.0,2321.0,0.07,11152.0,0.36,376755.0,1941.0,6012.0,3709.0,45.0,403.0,676.0,0.19,0.12,0.0,0.01,0.02,0.33,0.59,0.36,0.0,0.04,2382.0,2180.0,2293.0,1277.0,822.0,502.0,509.0,1258.0,1809.0,2027.0,2451.0,2535.0,1862.0,1480.0,1682.0,571.0,1113.0,695.0,781.0,856.0,778.0,565.0,617.0,0.15,0.14,0.13,0.14,0.14,0.1,0.1,0.09,2.9007815511863457
48,48,60654,39926.0,94030.0,36204.0,20764.0,34.3,62001.0,368068.0,21.0,21.0,60654.0,96.0,100.0,84.0,60654.0,41.892289,-87.637271,60654.0,(Chicago),17328.0,814.0,32.4,93848.0,92695.0,7502.0,0.43,1558.0,0.09,301530.0,2447.0,3428.0,1794.0,130.0,5833.0,1244.0,0.2,0.1,0.01,0.34,0.07,0.65,0.31,0.16,0.01,0.52,860.0,235.0,104.0,18.0,46.0,9.0,227.0,1017.0,3950.0,3630.0,1654.0,1739.0,738.0,895.0,803.0,343.0,408.0,71.0,183.0,215.0,86.0,72.0,25.0,0.06,0.01,0.3,0.3,0.14,0.1,0.06,0.02,2.5972268257651088
49,49,60655,23658.0,64658.0,19974.0,14648.0,32.4,32910.0,197860.0,20.0,20.0,60655.0,58.0,39.0,67.0,60655.0,41.694776,-87.703777,60655.0,(Chicago),28741.0,694.0,37.9,91102.0,36921.0,5564.0,0.19,939.0,0.03,459025.0,4924.0,12262.0,1045.0,15.0,370.0,298.0,0.43,0.04,0.0,0.01,0.01,0.48,0.9,0.08,0.0,0.03,2163.0,1663.0,1958.0,1427.0,790.0,487.0,339.0,979.0,1814.0,1606.0,1957.0,2193.0,1748.0,2535.0,1912.0,728.0,1122.0,429.0,595.0,977.0,483.0,394.0,442.0,0.13,0.15,0.13,0.12,0.14,0.15,0.1,0.08,3.237108240712927
50,50,60656,21491.0,57294.0,18559.0,13534.0,34.1,45896.0,127239.0,19.0,19.0,60656.0,33.0,41.0,45.0,60656.0,41.97428,-87.82713199999998,60656.0,(Chicago),27926.0,990.0,40.4,58177.0,33066.0,3536.0,0.13,2624.0,0.09,434225.0,5448.0,11609.0,1816.0,10.0,125.0,577.0,0.42,0.07,0.0,0.0,0.02,0.49,0.86,0.13,0.0,0.01,1784.0,1580.0,1435.0,704.0,244.0,134.0,150.0,746.0,2020.0,2419.0,2651.0,1923.0,2030.0,1808.0,1770.0,755.0,1121.0,576.0,774.0,1234.0,910.0,488.0,670.0,0.12,0.09,0.11,0.18,0.14,0.13,0.12,0.12,3.0871275391993103
51,51,60657,29351.0,42209.0,26008.0,6896.0,36.9,78850.0,443153.0,18.0,18.0,60657.0,96.0,84.0,84.0,60657.0,41.940293,-87.646857,60657.0,(Chicago),70105.0,1343.0,30.9,84319.0,67680.0,19630.0,0.28,6455.0,0.09,1566560.0,7560.0,16788.0,24849.0,1103.0,2523.0,3389.0,0.24,0.35,0.02,0.04,0.05,0.65,0.37,0.55,0.02,0.06,3801.0,1874.0,1495.0,605.0,385.0,372.0,949.0,6790.0,16599.0,10696.0,6047.0,3645.0,3380.0,3069.0,2587.0,861.0,1493.0,693.0,996.0,1375.0,817.0,928.0,648.0,0.08,0.04,0.35,0.24,0.1,0.08,0.06,0.05,1.62292371577976
52,52,60659,17425.0,35475.0,12019.0,7667.0,32.8,19263.0,129378.0,17.0,17.0,60659.0,85.0,56.0,79.0,60659.0,41.991488,-87.703986,60659.0,(Chicago),38995.0,1867.0,34.1,51527.0,23038.0,2611.0,0.07,8224.0,0.21,606050.0,6181.0,13262.0,3391.0,292.0,1078.0,622.0,0.34,0.09,0.01,0.03,0.02,0.46,0.74,0.19,0.02,0.06,2517.0,2785.0,2670.0,1422.0,751.0,466.0,547.0,1814.0,3792.0,3351.0,2939.0,2589.0,2286.0,1892.0,2669.0,777.0,1113.0,793.0,887.0,969.0,922.0,507.0,537.0,0.14,0.12,0.17,0.16,0.13,0.12,0.09,0.08,2.951576670272069
53,54,60666,11296.0,36936.0,10699.0,8655.0,34.4,78638.0,269528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.452285260304701
54,55,60661,13516.0,37389.0,13071.0,9672.0,33.0,103761.0,277408.0,15.0,15.0,60661.0,98.0,100.0,87.0,60661.0,41.88303,-87.644101,60661.0,(Chicago),9343.0,711.0,31.4,101829.0,79971.0,4168.0,0.45,1273.0,0.14,,1542.0,1817.0,1247.0,17.0,3286.0,342.0,0.19,0.13,0.0,0.35,0.04,0.68,0.29,0.2,0.0,0.52,429.0,66.0,51.0,53.0,83.0,26.0,88.0,965.0,2289.0,2027.0,1388.0,602.0,406.0,200.0,250.0,83.0,133.0,47.0,114.0,33.0,10.0,0.0,0.0,0.05,0.02,0.36,0.37,0.11,0.05,0.04,0.0,2.8604544411292174
55,56,60660,24.0,44.0,22.0,14.0,48.8,60675.0,79167.0,16.0,16.0,60660.0,96.0,74.0,86.0,60660.0,41.99111,-87.663076,60660.0,(Chicago),41490.0,1413.0,37.1,43794.0,32641.0,4641.0,0.11,7417.0,0.18,803970.0,4788.0,9515.0,10002.0,441.0,1282.0,1203.0,0.23,0.24,0.01,0.03,0.03,0.51,0.45,0.47,0.02,0.06,1635.0,1310.0,1225.0,850.0,1857.0,698.0,651.0,1874.0,4749.0,4472.0,3076.0,2712.0,2725.0,3111.0,2685.0,956.0,1719.0,963.0,926.0,1395.0,812.0,398.0,691.0,0.07,0.09,0.19,0.18,0.13,0.14,0.11,0.08,2.0
